,symbol_slice_1,symbol_slice_2,symbol_slice_3,symbol_slice_4,symbol_slice_5,symbol_slice_6,symbol_slice_7,symbol_slice_8,symbol_slice_9,symbol_slice_10,disp_slice_1,disp_slice_2,disp_slice_3,disp_slice_4,disp_slice_5,disp_slice_6,disp_slice_7,disp_slice_8,disp_slice_9,disp_slice_10,pol_slice_1,pol_slice_2,pol_slice_3,pol_slice_4,pol_slice_5,pol_slice_6,pol_slice_7,pol_slice_8,pol_slice_9,pol_slice_10,charge_slice_1,charge_slice_2,charge_slice_3,charge_slice_4,charge_slice_5,charge_slice_6,charge_slice_7,charge_slice_8,charge_slice_9,charge_slice_10,covCN_slice_1,covCN_slice_2,covCN_slice_3,covCN_slice_4,covCN_slice_5,covCN_slice_6,covCN_slice_7,covCN_slice_8,covCN_slice_9,covCN_slice_10,f+_slice_1,f+_slice_2,f+_slice_3,f+_slice_4,f+_slice_5,f+_slice_6,f+_slice_7,f+_slice_8,f+_slice_9,f+_slice_10,f-_slice_1,f-_slice_2,f-_slice_3,f-_slice_4,f-_slice_5,f-_slice_6,f-_slice_7,f-_slice_8,f-_slice_9,f-_slice_10,f0_slice_1,f0_slice_2,f0_slice_3,f0_slice_4,f0_slice_5,f0_slice_6,f0_slice_7,f0_slice_8,f0_slice_9,f0_slice_10,max_bond_order_slice_1,max_bond_order_slice_2,max_bond_order_slice_3,max_bond_order_slice_4,max_bond_order_slice_5,max_bond_order_slice_6,max_bond_order_slice_7,max_bond_order_slice_8,max_bond_order_slice_9,max_bond_order_slice_10,C_rdf_slice_1,C_rdf_slice_2,C_rdf_slice_3,C_rdf_slice_4,C_rdf_slice_5,C_rdf_slice_6,C_rdf_slice_7,C_rdf_slice_8,C_rdf_slice_9,C_rdf_slice_10,N_rdf_slice_1,N_rdf_slice_2,N_rdf_slice_3,N_rdf_slice_4,N_rdf_slice_5,N_rdf_slice_6,N_rdf_slice_7,N_rdf_slice_8,N_rdf_slice_9,N_rdf_slice_10,S_rdf_slice_1,S_rdf_slice_2,S_rdf_slice_3,S_rdf_slice_4,S_rdf_slice_5,S_rdf_slice_6,S_rdf_slice_7,S_rdf_slice_8,S_rdf_slice_9,S_rdf_slice_10,O_rdf_slice_1,O_rdf_slice_2,O_rdf_slice_3,O_rdf_slice_4,O_rdf_slice_5,O_rdf_slice_6,O_rdf_slice_7,O_rdf_slice_8,O_rdf_slice_9,O_rdf_slice_10,F_rdf_slice_1,F_rdf_slice_2,F_rdf_slice_3,F_rdf_slice_4,F_rdf_slice_5,F_rdf_slice_6,F_rdf_slice_7,F_rdf_slice_8,F_rdf_slice_9,F_rdf_slice_10
nuc1,47.32872759999999,52.30973439999999,37.3054528,26.1548672,41.15914879999999,31.73016,5.5752928000000015,0.0,0.0,0.0,51.491,55.653,36.43300000000001,31.587,57.531000000000006,34.036,2.614,0.0,0.0,0.0,18.126,20.364,16.273,11.363,17.59,13.858,2.528,0.0,0.0,0.0,-0.016,-0.031,0.0689999999999999,-0.012,-0.061,0.025,0.028,0.0,0.0,0.0,8.138,8.575,5.699999999999999,3.85,5.838,4.772,0.926,0.0,0.0,0.0,0.052,0.154,0.187,0.144,0.107,0.259,0.1,0.0,0.0,0.0,0.291,0.15,0.152,0.0819999999999999,0.059,0.182,0.082,0.0,0.0,0.0,0.172,0.152,0.1689999999999999,0.1129999999999999,0.0829999999999999,0.22,0.091,0.0,0.0,0.0,3.944,4.361,4.385,2.412,2.891,3.382,0.972,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc2,47.32872759999999,40.8651285504,20.579574399999995,26.1548672,36.178142,26.1548672,5.5752928000000015,0.0,0.0,0.0,51.574,53.294,28.369,28.59,55.248,29.035,2.357,0.0,0.0,0.0,18.832,17.561,8.735,10.723,16.423000000000002,10.895,2.401,0.0,0.0,0.0,0.3849999999999999,-0.412,-0.014,0.135,-0.244,0.104,0.047,0.0,0.0,0.0,7.109999999999999,4.754,2.929,3.844,4.747999999999999,3.841,0.925,0.0,0.0,0.0,0.195,0.286,0.05,0.09,0.132,0.149,0.098,0.0,0.0,0.0,0.165,0.299,0.018,0.084,0.241,0.092,0.099,0.0,0.0,0.0,0.18,0.293,0.034,0.086,0.186,0.121,0.099,0.0,0.0,0.0,4.8180000000000005,4.067,1.449,2.416,2.905,2.405,0.964,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc3,47.32872759999999,37.3054528,5.5752928000000015,21.1738604,52.30973439999999,5.5752928000000015,52.30973439999999,37.3054528,5.5752928000000015,0.0,52.147000000000006,28.256000000000004,3.041,27.548,46.304,2.996,48.119,29.276000000000003,2.601,0.0,18.241000000000003,13.976,2.727,9.944,18.088,2.707,18.098,14.146,2.522,0.0,-0.0499999999999999,0.103,0.001,-0.154,0.063,0.004,-0.034,0.037,0.029,0.0,8.081,6.533000000000001,0.922,3.654,9.383,0.922,9.464,6.579000000000001,0.924,0.0,0.256,0.19,0.058,0.156,0.075,0.048,0.044,0.131,0.04,0.0,0.2029999999999999,0.133,0.075,0.215,0.0769999999999999,0.093,0.052,0.103,0.048,0.0,0.23,0.163,0.067,0.186,0.075,0.07,0.049,0.118,0.044,0.0,3.985,3.919,0.964,1.977,3.944,0.963,3.972,3.94,0.978,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc4,47.32872759999999,37.3054528,5.5752928000000015,21.1738604,52.30973439999999,57.88502719999999,20.285554150400003,5.5752928000000015,0.0,0.0,52.146,28.254,2.882,27.477,46.63399999999999,46.311,21.746,2.389,0.0,0.0,18.234,13.964,2.655,9.899,18.047,20.001,8.361,2.417,0.0,0.0,-0.0479999999999999,0.105,0.011,-0.148,0.048,0.267,-0.276,0.045,0.0,0.0,8.082,6.520000000000001,0.923,3.652,9.374,10.197,2.624,0.924,0.0,0.0,0.2229999999999999,0.165,0.049,0.1639999999999999,0.063,0.144,0.13,0.061,0.0,0.0,0.178,0.119,0.064,0.1999999999999999,0.068,0.145,0.16,0.065,0.0,0.0,0.2,0.142,0.057,0.182,0.066,0.145,0.145,0.063,0.0,0.0,3.986,3.917,0.965,1.977,3.948,4.880999999999999,1.957,0.971,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc5,47.32872759999999,37.3054528,5.5752928000000015,21.1738604,52.30973439999999,11.150585600000005,5.5752928000000015,0.0,0.0,0.0,52.163,28.365,2.757,27.302,47.843,5.309,2.452,0.0,0.0,0.0,18.241,14.038,2.597,9.858,18.275,5.0920000000000005,2.449,0.0,0.0,0.0,-0.0499999999999999,0.091,0.018,-0.1379999999999999,-0.013,0.052,0.04,0.0,0.0,0.0,8.081,6.5360000000000005,0.923,3.649,9.282,1.848,0.925,0.0,0.0,0.0,0.306,0.211,0.067,0.18,0.049,0.1159999999999999,0.071,0.0,0.0,0.0,0.213,0.1709999999999999,0.102,0.238,0.049,0.162,0.066,0.0,0.0,0.0,0.26,0.189,0.084,0.209,0.0489999999999999,0.139,0.068,0.0,0.0,0.0,3.984,3.918,0.965,1.998,3.989,1.957,0.982,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc6,47.32872759999999,57.88502719999999,114.6427436,46.73444159999999,155.20760639999995,145.7786176,78.46460159999998,48.4560384,5.5752928000000015,0.0,51.556,54.27,147.526,58.049,205.63300000000004,184.044,94.232,42.356,2.698,0.0,18.087,21.689,50.00000000000001,19.797,66.488,63.053,33.975,21.544,2.569,0.0,-0.012,0.284,-0.195,0.057,-0.12,-0.114,-0.011,0.087,0.022,0.0,8.138,9.472,17.21,6.751,22.409,21.224999999999994,11.542,7.543,0.926,0.0,0.016,0.06,0.115,0.037,0.176,0.223,0.158,0.179,0.035,0.0,0.089,0.073,0.122,0.023,0.124,0.175,0.121,0.224,0.051,0.0,0.053,0.067,0.119,0.03,0.149,0.198,0.1389999999999999,0.202,0.043,0.0,3.93,5.26,9.801,3.768,11.991,12.534,7.242,6.283,0.971,0.0,1.0,2.0,4.0,2.0,7.0,6.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc7,47.32872759999999,57.88502719999999,88.48787639999999,67.31401599999998,125.19904319999998,108.47316479999998,121.34534719999998,145.7786176,74.6109056,117.49165119999998,51.442,54.28400000000001,116.084,86.847,155.17499999999998,145.56,132.85000000000002,161.806,58.06,92.929,18.08,21.822,38.732000000000006,28.604000000000003,54.291,46.333,52.68400000000001,56.36899999999999,28.195,45.186,-0.007,0.264,-0.196,0.025,-0.0809999999999999,-0.085,0.106,-0.1559999999999999,0.107,0.0249999999999999,8.14,9.475,13.358,9.682,18.306,15.653,18.225,23.951,13.216000000000005,20.535000000000007,0.02,0.078,0.073,0.054,0.188,0.104,0.205,0.1,0.09,0.087,0.072,0.0589999999999999,0.094,0.024,0.1339999999999999,0.071,0.174,0.147,0.122,0.103,0.046,0.069,0.083,0.038,0.161,0.087,0.189,0.123,0.106,0.0939999999999999,3.979,5.272,7.335999999999999,5.222,11.138,8.078999999999999,12.550999999999998,11.169,7.855,12.824,1.0,2.0,3.0,3.0,5.0,5.0,4.0,6.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc8,47.32872759999999,40.8651285504,11.150585600000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.517,47.983,4.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.84,15.63,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3849999999999999,-0.5279999999999999,0.142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.101,5.54,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.474,0.312,0.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3239999999999999,0.468,0.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.399,0.39,0.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.843,3.683,1.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc9,51.1782348,29.4205227008,31.73016,5.5752928000000015,0.0,0.0,0.0,0.0,0.0,0.0,137.29799999999997,49.911,28.765,1.841,0.0,0.0,0.0,0.0,0.0,0.0,28.777,13.396,11.510000000000002,2.122,0.0,0.0,0.0,0.0,0.0,0.0,1.0640000000000005,-1.1030000000000002,-0.055,0.094,0.0,0.0,0.0,0.0,0.0,0.0,7.964,1.72,5.598,0.926,0.0,0.0,0.0,0.0,0.0,0.0,0.483,0.228,0.192,0.097,0.0,0.0,0.0,0.0,0.0,0.0,0.477,0.236,0.191,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.479,0.232,0.191,0.097,0.0,0.0,0.0,0.0,0.0,0.0,4.519,3.284,2.949,0.977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc10,51.1782348,45.0190903008,26.1548672,37.3054528,11.150585600000005,0.0,0.0,0.0,0.0,0.0,133.622,79.038,23.678,27.817,4.64,0.0,0.0,0.0,0.0,0.0,28.449,21.405,8.992,13.473,4.761,0.0,0.0,0.0,0.0,0.0,1.213,-1.462,0.002,0.147,0.101,0.0,0.0,0.0,0.0,0.0,8.193,4.448,4.766,6.602,1.849,0.0,0.0,0.0,0.0,0.0,0.454,0.328,-0.0079999999999999,0.11,0.1169999999999999,0.0,0.0,0.0,0.0,0.0,0.241,0.298,0.015,0.217,0.2279999999999999,0.0,0.0,0.0,0.0,0.0,0.347,0.313,0.0039999999999999,0.163,0.173,0.0,0.0,0.0,0.0,0.0,4.458,4.199,1.988,3.93,1.957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc11,51.1782348,50.00009710079999,41.15914879999999,11.150585600000005,41.15914879999999,31.73016,0.0,37.3054528,0.0,0.0,137.97199999999998,80.872,57.357,4.3580000000000005,57.689,31.977000000000004,0.0,29.534,0.0,0.0,28.869000000000003,22.511,17.568,4.617,17.616,13.328,0.0,13.844,0.0,0.0,1.0420000000000005,-1.223,-0.054,0.123,-0.068,0.131,0.0,0.051,0.0,0.0,8.059999999999999,4.695,5.925000000000001,1.852,5.855,4.8180000000000005,0.0,6.533,0.0,0.0,0.212,0.124,0.077,0.146,0.056,0.252,0.0,0.134,0.0,0.0,0.2739999999999999,0.176,0.034,0.099,0.056,0.1699999999999999,0.0,0.192,0.0,0.0,0.242,0.15,0.055,0.123,0.056,0.211,0.0,0.162,0.0,0.0,4.459,4.672000000000001,2.8920000000000003,1.929,2.8920000000000003,3.348,0.0,3.954,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc12,47.32872759999999,50.00009710079999,0.0,14.7102613504,31.73016,31.73016,5.5752928000000015,0.0,0.0,0.0,51.35199999999999,64.732,0.0,17.637,23.85,27.097,2.25,0.0,0.0,0.0,18.674,20.054,0.0,5.67,10.933,11.403,2.346,0.0,0.0,0.0,0.424,-0.469,0.0,-0.219,0.198,0.0109999999999999,0.056,0.0,0.0,0.0,7.102,4.438,0.0,1.704,5.551,5.599,0.925,0.0,0.0,0.0,0.278,0.492,0.0,0.102,0.015,0.066,0.046,0.0,0.0,0.0,0.212,0.402,0.0,0.069,0.107,0.139,0.071,0.0,0.0,0.0,0.245,0.447,0.0,0.085,0.062,0.103,0.058,0.0,0.0,0.0,4.868,5.16,0.0,1.204,2.965,2.967,0.982,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc13,47.32872759999999,41.7534348,0.0,61.73872319999998,11.150585600000005,5.5752928000000015,0.0,0.0,0.0,0.0,54.00599999999999,60.243,0.0,84.463,5.176,2.631,0.0,0.0,0.0,0.0,19.334000000000003,19.314,0.0,26.098,5.031000000000001,2.537,0.0,0.0,0.0,0.0,0.239,-0.314,0.0,-0.012,0.06,0.027,0.0,0.0,0.0,0.0,7.256,5.69,0.0,8.748,1.851,0.926,0.0,0.0,0.0,0.0,0.183,0.318,0.0,0.179,0.222,0.098,0.0,0.0,0.0,0.0,0.263,0.3229999999999999,0.0,0.1089999999999999,0.207,0.098,0.0,0.0,0.0,0.0,0.2239999999999999,0.321,0.0,0.144,0.215,0.098,0.0,0.0,0.0,0.0,4.445,3.893,0.0,4.378,1.935,0.972,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc14,47.32872759999999,50.8884033504,15.5985676,76.44898455039998,11.150585600000005,5.5752928000000015,0.0,0.0,0.0,0.0,52.415,78.519,13.679,105.384,4.237,2.305,0.0,0.0,0.0,0.0,18.826,22.896,5.493,32.226,4.550000000000001,2.374,0.0,0.0,0.0,0.0,0.378,-0.715,0.532,-0.38,0.135,0.051,0.0,0.0,0.0,0.0,7.242000000000001,5.687,2.76,9.667000000000002,1.851,0.926,0.0,0.0,0.0,0.0,0.143,0.248,0.112,0.275,0.148,0.074,0.0,0.0,0.0,0.0,0.202,0.305,0.036,0.195,0.177,0.086,0.0,0.0,0.0,0.0,0.172,0.277,0.074,0.235,0.1629999999999999,0.08,0.0,0.0,0.0,0.0,4.473999999999999,4.242000000000001,1.436,5.877000000000001,1.922,0.969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc15,47.32872759999999,52.30973439999999,0.0,61.73872319999998,11.150585600000005,14.7102613504,31.73016,0.0,5.5752928000000015,0.0,56.524,64.264,0.0,84.195,4.966,18.659,25.233,0.0,2.241,0.0,19.86,22.877,0.0,26.041,4.927,5.832,11.422,0.0,2.341,0.0,0.096,-0.066,0.0,0.0069999999999999,0.075,-0.281,0.112,0.0,0.056,0.0,7.257000000000001,7.701,0.0,8.702,1.852,1.705,5.492000000000001,0.0,0.925,0.0,0.162,0.338,0.0,0.183,0.197,0.05,0.023,0.0,0.047,0.0,0.286,0.207,0.0,0.1139999999999999,0.133,0.123,0.08,0.0,0.056,0.0,0.224,0.272,0.0,0.149,0.165,0.087,0.05,0.0,0.052,0.0,4.415,4.8580000000000005,0.0,4.301,1.936,1.038,2.946,0.0,0.98,0.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc16,47.32872759999999,52.30973439999999,0.0,61.73872319999998,26.1548672,26.1548672,46.73444159999999,5.5752928000000015,5.5752928000000015,0.0,56.121,64.559,0.0,84.584,31.577,31.539,60.329,2.667,2.676,0.0,19.78,22.965,0.0,26.126,11.348,11.363,20.159,2.554,2.558,0.0,0.1169999999999999,-0.082,0.0,-0.0209999999999999,-0.0099999999999999,-0.01,-0.042,0.024,0.024,0.0,7.257000000000001,7.693,0.0,8.89,3.845,3.844,6.757,0.926,0.926,0.0,0.149,0.2219999999999999,0.0,0.092,0.124,0.126,0.14,0.075,0.073,0.0,0.252,0.197,0.0,0.086,0.103,0.094,0.134,0.065,0.07,0.0,0.2,0.21,0.0,0.089,0.113,0.11,0.137,0.07,0.072,0.0,4.508,4.9590000000000005,0.0,4.17,2.526,2.519,4.077,0.971,0.972,0.0,1.0,2.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc17,47.32872759999999,52.30973439999999,0.0,61.73872319999998,11.150585600000005,20.579574399999995,42.8807456,0.0,5.5752928000000015,0.0,56.341,64.541,0.0,86.022,5.313000000000001,21.575,32.602,0.0,2.56,0.0,19.832,22.988,0.0,26.346000000000004,5.097,6.612,16.736,0.0,2.502,0.0,0.103,-0.0819999999999999,0.0,-0.081,0.05,-0.056,0.033,0.0,0.032,0.0,7.260000000000001,7.696,0.0,8.82,1.852,3.806,7.451,0.0,0.925,0.0,0.1889999999999999,0.304,0.0,0.186,0.19,-0.016,0.105,0.0,0.043,0.0,0.302,0.216,0.0,0.131,0.138,-0.007,0.165,0.0,0.055,0.0,0.246,0.26,0.0,0.158,0.164,-0.012,0.135,0.0,0.049,0.0,4.409,4.861,0.0,4.327,1.94,1.011,4.93,0.0,0.987,0.0,1.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc18,47.32872759999999,46.73444159999999,46.4404213504,67.31401599999998,11.150585600000005,5.5752928000000015,0.0,0.0,0.0,0.0,55.78199999999999,61.392,44.43,89.758,5.322,2.667,0.0,0.0,0.0,0.0,19.649,20.334,16.421999999999997,29.077,5.102,2.554,0.0,0.0,0.0,0.0,0.15,-0.086,-0.037,-0.1009999999999999,0.05,0.024,0.0,0.0,0.0,0.0,7.263,6.819,7.062,9.682,1.851,0.926,0.0,0.0,0.0,0.0,0.166,0.24,0.095,0.2179999999999999,0.194,0.088,0.0,0.0,0.0,0.0,0.294,0.1669999999999999,0.119,0.189,0.146,0.083,0.0,0.0,0.0,0.0,0.2289999999999999,0.204,0.108,0.203,0.1699999999999999,0.085,0.0,0.0,0.0,0.0,4.42,3.871,3.849,5.305000000000001,1.939,0.972,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc19,47.32872759999999,46.73444159999999,40.8651285504,67.31401599999998,37.3054528,46.73444159999999,26.1548672,46.73444159999999,5.5752928000000015,5.5752928000000015,56.352,57.80200000000001,41.445,89.674,35.605000000000004,60.17,31.169,60.054,2.554,2.561,19.773000000000003,19.738,14.789,28.941,16.151,20.113,11.241,20.085,2.499,2.503,0.1149999999999999,0.073,-0.219,-0.087,0.102,-0.034,0.011,-0.0279999999999999,0.032,0.032,7.258000000000001,6.727,6.332000000000001,9.681,5.745,6.774,3.844,6.764,0.926,0.926,0.087,0.1169999999999999,0.054,0.123,0.183,0.092,0.083,0.132,0.061,0.066,0.237,0.124,0.048,0.135,0.149,0.0839999999999999,0.053,0.0839999999999999,0.042,0.046,0.163,0.119,0.052,0.128,0.166,0.087,0.068,0.109,0.052,0.056,4.418,3.847,2.955,5.275,4.329,3.861,2.414,3.868,0.971,0.971,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc20,47.32872759999999,46.73444159999999,13.305819542399998,61.73872319999998,11.150585600000005,5.5752928000000015,0.0,0.0,0.0,0.0,55.884,57.114,11.722,87.26100000000001,4.77,2.485,0.0,0.0,0.0,0.0,19.673,19.594,4.044,26.532,4.827999999999999,2.465,0.0,0.0,0.0,0.0,0.142,0.108,-0.246,-0.131,0.09,0.037,0.0,0.0,0.0,0.0,7.255000000000001,6.646,0.786,8.757,1.852,0.926,0.0,0.0,0.0,0.0,0.2029999999999999,0.237,0.079,0.18,0.204,0.097,0.0,0.0,0.0,0.0,0.337,0.172,0.1,0.1399999999999999,0.161,0.09,0.0,0.0,0.0,0.0,0.27,0.205,0.09,0.16,0.183,0.094,0.0,0.0,0.0,0.0,4.425,3.855,0.936,4.318,1.938,0.971,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
