,symbol_slice_1,symbol_slice_2,symbol_slice_3,symbol_slice_4,symbol_slice_5,symbol_slice_6,symbol_slice_7,symbol_slice_8,symbol_slice_9,symbol_slice_10,disp_slice_1,disp_slice_2,disp_slice_3,disp_slice_4,disp_slice_5,disp_slice_6,disp_slice_7,disp_slice_8,disp_slice_9,disp_slice_10,pol_slice_1,pol_slice_2,pol_slice_3,pol_slice_4,pol_slice_5,pol_slice_6,pol_slice_7,pol_slice_8,pol_slice_9,pol_slice_10,charge_slice_1,charge_slice_2,charge_slice_3,charge_slice_4,charge_slice_5,charge_slice_6,charge_slice_7,charge_slice_8,charge_slice_9,charge_slice_10,covCN_slice_1,covCN_slice_2,covCN_slice_3,covCN_slice_4,covCN_slice_5,covCN_slice_6,covCN_slice_7,covCN_slice_8,covCN_slice_9,covCN_slice_10,f+_slice_1,f+_slice_2,f+_slice_3,f+_slice_4,f+_slice_5,f+_slice_6,f+_slice_7,f+_slice_8,f+_slice_9,f+_slice_10,f-_slice_1,f-_slice_2,f-_slice_3,f-_slice_4,f-_slice_5,f-_slice_6,f-_slice_7,f-_slice_8,f-_slice_9,f-_slice_10,f0_slice_1,f0_slice_2,f0_slice_3,f0_slice_4,f0_slice_5,f0_slice_6,f0_slice_7,f0_slice_8,f0_slice_9,f0_slice_10,max_bond_order_slice_1,max_bond_order_slice_2,max_bond_order_slice_3,max_bond_order_slice_4,max_bond_order_slice_5,max_bond_order_slice_6,max_bond_order_slice_7,max_bond_order_slice_8,max_bond_order_slice_9,max_bond_order_slice_10,C_rdf_slice_1,C_rdf_slice_2,C_rdf_slice_3,C_rdf_slice_4,C_rdf_slice_5,C_rdf_slice_6,C_rdf_slice_7,C_rdf_slice_8,C_rdf_slice_9,C_rdf_slice_10,N_rdf_slice_1,N_rdf_slice_2,N_rdf_slice_3,N_rdf_slice_4,N_rdf_slice_5,N_rdf_slice_6,N_rdf_slice_7,N_rdf_slice_8,N_rdf_slice_9,N_rdf_slice_10,S_rdf_slice_1,S_rdf_slice_2,S_rdf_slice_3,S_rdf_slice_4,S_rdf_slice_5,S_rdf_slice_6,S_rdf_slice_7,S_rdf_slice_8,S_rdf_slice_9,S_rdf_slice_10,O_rdf_slice_1,O_rdf_slice_2,O_rdf_slice_3,O_rdf_slice_4,O_rdf_slice_5,O_rdf_slice_6,O_rdf_slice_7,O_rdf_slice_8,O_rdf_slice_9,O_rdf_slice_10,F_rdf_slice_1,F_rdf_slice_2,F_rdf_slice_3,F_rdf_slice_4,F_rdf_slice_5,F_rdf_slice_6,F_rdf_slice_7,F_rdf_slice_8,F_rdf_slice_9,F_rdf_slice_10
nuc382,47.32872759999999,52.30973439999999,20.579574399999995,93.46888319999998,74.6109056,11.150585600000003,63.46031999999999,67.31401599999998,32.324446,188.07132270079998,56.686,63.821,20.77,107.36000000000001,66.12100000000001,4.895,52.24,65.365,30.705999999999996,172.70700000000002,19.885,22.846000000000004,6.482,36.089,30.396000000000004,4.893000000000001,22.852,22.038,14.447000000000001,70.04599999999999,0.08900000000000002,-0.05099999999999999,-0.013,-0.188,0.08700000000000001,0.081,0.08800000000000002,-0.020000000000000004,0.01800000000000001,-0.09100000000000008,7.260000000000001,7.753,3.854,15.262000000000002,12.277000000000003,1.8490000000000002,11.358999999999998,12.233999999999998,5.511,29.51300000000001,0.11800000000000001,0.179,-0.004,0.10099999999999999,0.171,0.081,0.046,-0.016,0.098,0.22699999999999995,0.189,0.11,-0.002,0.04,0.15200000000000002,0.057,0.09700000000000002,0.0020000000000000018,0.135,0.22199999999999998,0.154,0.14300000000000002,-0.003,0.06999999999999999,0.162,0.069,0.071,-0.005999999999999998,0.11599999999999999,0.22199999999999998,4.393,4.791,1.0,6.837999999999999,8.322,1.942,5.87,3.9509999999999996,4.132,18.064999999999998,1.0,2.0,1.0,4.0,2.0,0.0,2.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc383,47.32872759999999,52.30973439999999,0.0,61.73872319999998,5.5752928000000015,50.2899285504,40.865128550399994,5.5752928000000015,0.0,0.0,55.533,63.672999999999995,0.0,87.561,2.358,137.245,51.101000000000006,1.886,0.0,0.0,19.614,22.61,0.0,26.581000000000003,2.402,28.772,15.943,2.148,0.0,0.0,0.16,-0.024999999999999988,0.0,-0.143,0.047,0.5319999999999999,-0.6600000000000001,0.089,0.0,0.0,7.261000000000001,7.747,0.0,8.85,0.926,6.461,5.531000000000001,0.926,0.0,0.0,0.152,0.28099999999999997,0.0,0.121,0.08,0.27799999999999997,0.035,0.052,0.0,0.0,0.246,0.179,0.0,0.08399999999999999,0.066,0.279,0.093,0.053,0.0,0.0,0.19899999999999998,0.22999999999999998,0.0,0.103,0.073,0.28,0.063,0.053,0.0,0.0,4.42,4.839,0.0,4.3260000000000005,0.969,5.2700000000000005,3.629,0.976,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc384,47.32872759999999,36.178141999999994,5.5752928000000015,36.178141999999994,42.8807456,177.50877759999997,26.749153200000002,22.301171200000006,20.579574399999995,161.9164555008,55.449,59.016,2.82,47.995,28.965,165.68999999999997,28.31,9.052,20.295,150.29200000000003,19.645,16.981,2.626,15.323,15.779000000000002,60.98800000000001,12.041999999999998,9.402999999999999,7.37,60.39500000000001,0.15300000000000002,-0.39799999999999996,0.014,0.065,0.259,-0.13,-0.02800000000000001,0.22,0.397,-0.5549999999999996,7.42,5.023,0.927,6.08,7.487000000000001,32.026,4.588,3.697,2.649,25.939000000000007,0.127,0.114,0.053,0.127,0.049,0.058,0.099,0.107,0.059,0.20400000000000001,0.212,0.088,0.04,0.075,0.063,0.069,0.11099999999999999,0.108,0.003,0.229,0.16899999999999998,0.101,0.046,0.1,0.056999999999999995,0.064,0.106,0.109,0.031,0.21700000000000003,4.476,2.919,0.965,2.734,4.8950000000000005,12.841999999999999,3.178,3.8859999999999997,1.6,15.499999999999996,1.0,1.0,0.0,1.0,1.0,7.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc385,47.32872759999999,36.178141999999994,5.5752928000000015,41.753434799999994,37.3054528,198.08835199999996,52.90402039999999,27.876464000000006,20.579574399999995,161.9164555008,55.39,59.17,2.819,49.969,27.631,185.517,51.49300000000001,12.148,20.273,150.22600000000006,19.631999999999998,17.003,2.626,17.603,13.555,67.326,20.996000000000002,12.177,7.366,60.388000000000005,0.15700000000000003,-0.40399999999999997,0.014,0.138,0.154,-0.12600000000000008,0.007000000000000006,0.212,0.399,-0.5499999999999997,7.42,5.022,0.927,7.002,6.514000000000001,36.773999999999994,9.269000000000002,4.622000000000001,2.649,25.939000000000007,0.128,0.114,0.054,0.121,0.05,0.05500000000000001,0.1,0.116,0.058,0.203,0.202,0.083,0.04,0.074,0.062,0.076,0.12199999999999998,0.121,0.003,0.216,0.16499999999999998,0.099,0.047,0.098,0.056,0.06599999999999999,0.11199999999999999,0.12000000000000001,0.03,0.21,4.476999999999999,2.917,0.966,3.7039999999999997,3.8869999999999996,13.844,5.122,4.886,1.604,15.503999999999998,1.0,1.0,0.0,1.0,1.0,8.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc386,47.32872759999999,36.178141999999994,5.5752928000000015,36.178141999999994,31.730159999999998,125.19904319999998,73.48359479999999,77.87656110079999,37.3054528,95.19047999999998,55.24900000000001,58.956,2.731,47.942,24.358999999999998,114.53200000000001,74.456,74.83899999999998,29.793000000000003,77.764,19.595000000000002,16.973,2.584,15.314,10.985,42.185,27.882999999999996,31.904000000000003,13.96,34.04,0.16600000000000004,-0.39599999999999996,0.02,0.068,0.157,0.05399999999999999,-0.13499999999999998,-0.17700000000000002,0.032000000000000015,0.21200000000000002,7.42,5.022,0.926,6.077,5.6610000000000005,23.315,13.339000000000002,9.825,6.53,16.845000000000002,0.13,0.119,0.054,0.131,0.002000000000000001,0.091,0.073,0.318,0.013,0.06799999999999999,0.212,0.087,0.042,0.076,0.01,0.081,0.094,0.245,0.034999999999999996,0.11800000000000001,0.17099999999999999,0.10300000000000001,0.048,0.104,0.006,0.088,0.083,0.28200000000000003,0.024,0.093,4.475,2.9050000000000002,0.974,2.724,2.934,8.866999999999999,6.1530000000000005,9.187999999999999,3.94,8.889000000000001,1.0,1.0,0.0,1.0,1.0,5.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc387,47.32872759999999,36.178141999999994,5.5752928000000015,36.178141999999994,37.3054528,121.34534719999998,124.07173239999999,39.027049600000005,20.579574399999995,161.9164555008,55.4,59.057,2.837,47.968,26.655,103.47100000000002,132.17100000000002,16.743000000000002,20.272,150.23500000000007,19.636,16.987,2.634,15.318999999999999,13.339,43.635999999999996,42.483,16.917,7.366,60.393000000000015,0.15500000000000003,-0.39999999999999997,0.013,0.065,0.21199999999999997,0.050000000000000024,-0.256,0.317,0.399,-0.5519999999999998,7.423,5.018000000000001,0.927,6.082,6.577,21.778,22.634,6.470000000000001,2.649,25.939000000000007,0.126,0.112,0.054,0.124,0.027000000000000003,0.10700000000000001,0.018,0.165,0.059,0.20600000000000002,0.208,0.08600000000000001,0.042,0.075,0.037,0.11900000000000001,0.036000000000000004,0.17200000000000001,0.003,0.223,0.16799999999999998,0.1,0.048,0.099,0.032,0.11400000000000002,0.027000000000000003,0.169,0.031,0.21300000000000002,4.476,2.92,0.967,2.738,3.8819999999999997,10.825,7.194,6.827999999999999,1.605,15.505999999999997,1.0,1.0,0.0,1.0,1.0,4.0,5.0,0.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc388,47.32872759999999,52.30973439999999,0.0,56.75771639999999,5.5752928000000015,46.73444159999999,26.154867199999998,0.0,20.579574399999995,15.5985676,55.977000000000004,64.479,0.0,75.575,2.351,61.254999999999995,30.569,0.0,28.348,26.6,19.725,22.799,0.0,23.927,2.398,20.273999999999997,11.163,0.0,8.599,7.459,0.13,-0.064,0.0,0.07799999999999999,0.048,-0.077,0.028000000000000004,0.0,0.112,-0.254,7.259,7.683,0.0,8.809000000000001,0.926,6.948,4.028,0.0,1.899,0.911,0.14500000000000002,0.243,0.0,0.105,0.075,0.118,0.11499999999999999,0.0,0.042,0.158,0.236,0.188,0.0,0.09,0.059,0.192,0.11299999999999999,0.0,0.006,0.117,0.189,0.215,0.0,0.098,0.067,0.154,0.113,0.0,0.024,0.138,4.544,5.035,0.0,4.273,0.963,3.799,2.372,0.0,2.784,2.784,1.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc389,47.32872759999999,46.73444159999999,31.730159999999998,62.33300919999999,5.5752928000000015,46.73444159999999,26.154867199999998,0.0,20.579574399999995,15.5985676,56.26400000000001,60.870000000000005,27.288,78.378,2.38,61.27,30.624,0.0,28.358,26.668,19.770999999999997,20.19,11.552,26.403000000000002,2.412,20.282999999999998,11.177,0.0,8.6,7.469,0.118,-0.059000000000000004,-0.010000000000000002,0.10500000000000001,0.045,-0.078,0.025,0.0,0.111,-0.257,7.260000000000001,6.801,5.607,9.742,0.926,6.9510000000000005,4.029,0.0,1.899,0.911,0.136,0.175,0.063,0.133,0.069,0.11499999999999999,0.111,0.0,0.042,0.155,0.222,0.136,0.048,0.119,0.055,0.191,0.10899999999999999,0.0,0.006,0.114,0.179,0.155,0.056,0.127,0.062,0.153,0.11,0.0,0.024,0.135,4.548,4.054,2.967,5.232,0.961,3.7920000000000003,2.367,0.0,2.782,2.782,1.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc390,47.32872759999999,52.30973439999999,20.579574399999995,67.90830199999999,5.5752928000000015,46.73444159999999,26.154867199999998,0.0,20.579574399999995,15.5985676,56.406,63.211,22.568,80.57199999999999,2.368,61.232,30.631,0.0,28.36,26.655,19.811,22.610999999999997,6.773,28.74,2.406,20.273,11.176,0.0,8.601,7.467,0.10799999999999998,-0.013999999999999999,-0.106,0.162,0.046,-0.077,0.026000000000000002,0.0,0.111,-0.256,7.259,7.729,3.758,10.666000000000002,0.926,6.952999999999999,4.026,0.0,1.899,0.911,0.132,0.22099999999999997,-0.025,0.18000000000000002,0.072,0.113,0.111,0.0,0.042,0.155,0.22799999999999998,0.164,-0.025,0.18499999999999997,0.058,0.175,0.10500000000000001,0.0,0.005,0.107,0.18,0.192,-0.025,0.182,0.065,0.14300000000000002,0.108,0.0,0.023,0.131,4.503,5.024,1.024,6.215,0.964,3.7990000000000004,2.371,0.0,2.783,2.783,1.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc391,47.32872759999999,41.15914879999999,63.46031999999999,67.90830199999999,5.5752928000000015,46.73444159999999,26.154867199999998,0.0,20.579574399999995,15.5985676,56.650999999999996,57.144,54.71900000000001,81.037,2.398,61.279,30.682000000000002,0.0,28.367,26.715,19.832,17.535,23.204,28.837,2.421,20.299,11.190000000000001,0.0,8.602,7.475,0.10000000000000003,-0.045,-0.032000000000000015,0.141,0.044,-0.081,0.022,0.0,0.111,-0.259,7.264000000000001,5.921,11.213000000000001,10.666,0.926,6.954,4.026,0.0,1.899,0.911,0.123,0.119,0.12299999999999998,0.155,0.067,0.111,0.108,0.0,0.041,0.152,0.209,0.08,0.123,0.14500000000000002,0.054,0.177,0.10200000000000001,0.0,0.004,0.104,0.16699999999999998,0.1,0.124,0.15100000000000002,0.06,0.145,0.105,0.0,0.023,0.128,4.5040000000000004,3.048,5.9319999999999995,6.2,0.962,3.783,2.365,0.0,2.781,2.781,1.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc392,47.32872759999999,46.73444159999999,13.305819542399998,56.75771639999999,5.5752928000000015,46.73444159999999,26.154867199999998,0.0,20.579574399999995,15.5985676,55.715999999999994,57.363,11.528,76.201,2.059,61.015,30.399,0.0,28.325,26.41,19.61,19.558000000000003,4.011,24.024,2.244,20.208000000000002,11.103,0.0,8.595,7.433,0.158,0.10500000000000001,-0.228,0.052,0.072,-0.066,0.039,0.0,0.113,-0.246,7.253,6.625,0.787,8.806000000000001,0.926,6.947,4.028,0.0,1.899,0.911,0.15100000000000002,0.179,0.064,0.106,0.075,0.11699999999999999,0.11399999999999999,0.0,0.04,0.154,0.236,0.134,0.05,0.089,0.058,0.19,0.11099999999999999,0.0,0.008,0.122,0.193,0.156,0.057,0.098,0.066,0.153,0.113,0.0,0.024,0.138,4.546,4.001,0.951,4.22,0.959,3.795,2.3689999999999998,0.0,2.789,2.789,1.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc393,47.32872759999999,41.15914879999999,26.611639084799997,56.75771639999999,5.5752928000000015,46.73444159999999,26.154867199999998,0.0,20.579574399999995,15.5985676,55.687,50.355000000000004,22.848,76.658,1.95,60.451,30.217000000000002,0.0,28.288,26.174,19.546,16.436999999999998,7.985,24.094,2.184,20.054,11.040000000000001,0.0,8.59,7.399,0.174,0.257,-0.437,0.032,0.083,-0.036,0.049,0.0,0.114,-0.236,7.2490000000000006,5.564,1.573,8.807,0.926,6.947,4.032,0.0,1.899,0.911,0.15100000000000002,0.11499999999999999,0.129,0.108,0.075,0.11599999999999999,0.11399999999999999,0.0,0.038,0.153,0.236,0.07200000000000001,0.124,0.089,0.059,0.178,0.10900000000000001,0.0,0.009,0.124,0.194,0.094,0.127,0.098,0.067,0.147,0.111,0.0,0.024,0.138,4.499,2.981,1.915,4.215,0.958,3.7969999999999997,2.371,0.0,2.795,2.795,1.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc394,47.32872759999999,52.30973439999999,0.0,61.73872319999998,26.154867199999998,26.154867199999998,46.73444159999999,5.5752928000000015,20.579574399999995,15.5985676,55.637,64.295,0.0,84.352,31.404,31.163999999999998,58.885000000000005,2.504,28.386,26.443,19.664,22.865,0.0,26.09,11.287,11.265999999999998,19.883,2.474,8.604,7.437,0.14700000000000002,-0.066,0.0,-0.011000000000000003,0.0,0.008,0.022999999999999996,0.036,0.11,-0.247,7.257000000000001,7.695,0.0,8.886000000000001,3.8440000000000003,3.853,6.817,0.926,1.913,0.911,0.15500000000000003,0.176,0.0,0.084,0.101,0.123,0.133,0.06,0.028,0.14,0.239,0.184,0.0,0.08,0.091,0.079,0.129,0.056,0.013,0.128,0.197,0.181,0.0,0.08199999999999999,0.096,0.101,0.131,0.058,0.02,0.134,4.51,4.95,0.0,4.218999999999999,2.5469999999999997,2.417,3.997,0.97,2.792,2.792,1.0,2.0,0.0,3.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc395,47.32872759999999,52.30973439999999,26.154867199999998,67.31401599999998,26.154867199999998,26.154867199999998,46.73444159999999,5.5752928000000015,20.579574399999995,15.5985676,56.091,62.891,25.060000000000002,87.07700000000001,31.445999999999998,31.116,58.945,2.529,28.39,26.466,19.744000000000003,22.594,9.225,28.548000000000002,11.299,11.242,19.895000000000003,2.487,8.605,7.44,0.125,-0.003999999999999997,-0.068,0.020000000000000004,-0.001999999999999995,0.011999999999999997,0.019999999999999997,0.034,0.11,-0.248,7.260000000000001,7.734999999999999,4.68,9.812000000000001,3.843,3.855,6.816,0.926,1.912,0.911,0.14600000000000002,0.16,0.013999999999999999,0.108,0.098,0.118,0.129,0.058,0.028,0.138,0.223,0.16599999999999998,0.036000000000000004,0.12000000000000001,0.086,0.07,0.119,0.053,0.01,0.116,0.184,0.16399999999999998,0.025,0.11399999999999999,0.092,0.094,0.125,0.056,0.019,0.127,4.467,4.931,1.992,5.156999999999999,2.545,2.4139999999999997,3.995,0.971,2.792,2.792,1.0,2.0,1.0,3.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc396,47.32872759999999,46.73444159999999,57.88502719999999,72.88930879999998,26.154867199999998,26.154867199999998,46.73444159999999,5.5752928000000015,20.579574399999995,15.5985676,56.285,59.201,52.526999999999994,89.873,31.442,31.194,59.016,2.549,28.393,26.522,19.76,19.902,20.889999999999997,31.028,11.307,11.274,19.912000000000003,2.497,8.605,7.448,0.12,0.012999999999999998,-0.093,0.049999999999999996,-0.001999999999999995,0.007000000000000003,0.016999999999999994,0.033,0.11,-0.251,7.266,6.851999999999999,10.289,10.742,3.843,3.8560000000000003,6.816,0.926,1.912,0.911,0.139,0.11,0.063,0.128,0.093,0.116,0.126,0.057,0.028,0.137,0.21,0.135,0.07100000000000001,0.14,0.08299999999999999,0.069,0.117,0.052,0.01,0.113,0.175,0.122,0.068,0.135,0.088,0.093,0.121,0.054,0.019,0.125,4.468999999999999,3.9299999999999997,4.956,6.108999999999999,2.54,2.408,3.9909999999999997,0.971,2.79,2.79,1.0,2.0,2.0,3.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc397,47.32872759999999,46.73444159999999,13.305819542399998,61.73872319999998,26.154867199999998,26.154867199999998,46.73444159999999,5.5752928000000015,20.579574399999995,15.5985676,55.50200000000001,57.06399999999999,11.679,84.866,31.058,30.877,58.681,2.419,28.365,26.255,19.574,19.550000000000004,4.037,26.171,11.187000000000001,11.135000000000002,19.826000000000004,2.432,8.601,7.411,0.168,0.111,-0.242,-0.032999999999999995,0.019,0.028999999999999998,0.034999999999999996,0.042,0.111,-0.239,7.253,6.635,0.786,8.885,3.842,3.854,6.817,0.926,1.913,0.911,0.15800000000000003,0.127,0.048,0.084,0.10300000000000001,0.12,0.134,0.06,0.027,0.14,0.233,0.122,0.079,0.079,0.09,0.076,0.125,0.056,0.013,0.127,0.195,0.126,0.064,0.08099999999999999,0.097,0.098,0.13,0.058,0.02,0.134,4.47,3.9259999999999997,0.937,4.18,2.543,2.419,3.996,0.97,2.797,2.797,1.0,2.0,0.0,3.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc398,47.32872759999999,41.15914879999999,26.611639084799997,41.15914879999999,46.73444159999999,26.154867199999998,46.73444159999999,5.5752928000000015,20.579574399999995,15.5985676,55.26199999999999,50.165,23.046,57.587,58.629000000000005,30.799999999999997,58.495999999999995,2.354,28.345,26.076,19.468,16.407,8.02,17.599,19.691999999999997,11.102,19.770000000000003,2.399,8.598,7.385,0.195,0.266,-0.455,-0.063,0.048999999999999995,0.035,0.045,0.047,0.112,-0.232,7.250000000000001,5.577999999999999,1.573,5.895,6.833,3.854,6.8180000000000005,0.926,1.913,0.911,0.16199999999999998,0.07300000000000001,0.10400000000000001,0.068,0.118,0.118,0.134,0.06,0.026,0.138,0.23399999999999999,0.075,0.125,0.049,0.11499999999999999,0.076,0.125,0.055,0.014,0.133,0.198,0.073,0.114,0.057999999999999996,0.11699999999999999,0.097,0.129,0.057,0.02,0.136,4.481,2.911,1.899,2.816,3.8449999999999998,2.418,3.9899999999999998,0.97,2.802,2.802,1.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc399,47.32872759999999,41.753434799999994,0.0,62.33300919999999,41.753434799999994,31.730159999999998,37.3054528,46.73444159999999,25.860846950400003,37.3054528,53.684999999999995,63.208,0.0,80.664,46.232,26.584,27.682,42.751,24.4,27.729,19.282999999999998,19.775,0.0,26.55,16.146,11.459,13.588999999999999,15.147,10.933,13.889999999999999,0.254,-0.431,0.0,0.06,-0.063,0.023000000000000007,0.151,0.107,-0.249,0.151,7.267000000000001,5.69,0.0,8.591000000000001,7.436999999999999,5.6530000000000005,6.529,8.479,3.548,6.417000000000001,0.224,0.24,0.0,0.226,0.15,0.035,0.025,0.023999999999999997,0.055,0.021,0.127,0.201,0.0,0.14200000000000002,0.139,0.065,0.075,0.034,0.14400000000000002,0.071,0.175,0.21999999999999997,0.0,0.184,0.14500000000000002,0.051,0.051000000000000004,0.029999999999999995,0.099,0.047,4.469,3.808,0.0,5.148,3.195,2.939,3.909,2.9530000000000003,2.933,3.933,1.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
